header.seq,header.frame_id,inputTime,pose.position.x,pose.position.y,pose.position.z,pose.orientation.w,pose.orientation.x,pose.orientation.y,pose.orientation.z
123,1,2.0333333333,-2.79256810004941e-11,-1.33273383776366e-09,0.6557649868,-4.49335526719647e-12,-2.06574489928294e-07,1,2.15631416639739e-10
124,1,2.05,-2.68230211215801e-11,-1.27990398873335e-09,0.6564160219,-4.81083960716629e-12,-2.13335365565468e-07,1,2.31423101624076e-10
125,1,2.0666666667,-2.57459123851249e-11,-1.22830326848198e-09,0.6570024886,-5.02327919494468e-12,-2.19680478035306e-07,1,2.42140348328590e-10
126,1,2.0833333333,-2.46955063189604e-11,-1.17798971844121e-09,0.6575262364,-5.13676038181864e-12,-2.25624038691176e-07,1,2.48065685589026e-10
127,1,2.1,-2.36724292104551e-11,-1.12899594936591e-09,0.6579891021,-5.15867737183096e-12,-2.31180067550375e-07,1,2.49545814634775e-10
128,1,2.1166666667,-2.26768203274276e-11,-1.08133093155872e-09,0.6583929088,-5.09751845818571e-12,-2.36362382210759e-07,1,2.46981247875740e-10
129,1,2.1333333333,-2.17083760942598e-11,-1.03498207784236e-09,0.6587394642,-4.96264078458019e-12,-2.41184587714319e-07,1,2.40815615446259e-10
130,1,2.15,-2.07663990451953e-11,-9.89917563278052e-10,0.6590305603,-4.76404522732992e-12,-2.45660067370814e-07,1,2.31524940939621e-10
131,1,2.1666666667,-1.98498503674710e-11,-9.46088825056621e-10,0.6592679721,-4.51215353652310e-12,-2.49801974490504e-07,1,2.19606892642906e-10
132,1,2.1833333333,-1.89574048531519e-11,-9.03433185765270e-10,0.6594534563,-4.21758945698969e-12,-2.53623224918484e-07,1,2.05570416867934e-10
133,1,2.2,-1.80875070978166e-11,-8.61876544803223e-10,0.6595887513,-3.89097326968224e-12,-2.57136490433445e-07,1,1.89925687575882e-10
134,1,2.2166666667,-1.72384278457291e-11,-8.21336084370999e-10,0.6596755752,-3.54272761437536e-12,-2.60354192908534e-07,1,1.73174769215620e-10
135,1,2.2333333333,-1.64083194398884e-11,-7.81722939853604e-10,0.6597156262,-3.18289930615003e-12,-2.63288499206125e-07,1,1.55802954660274e-10
136,1,2.25,-1.55952694154498e-11,-7.42944787906360e-10,0.659710581,-2.82099886406491e-12,-2.65951316779201e-07,1,1.38270914413979e-10
137,1,2.2666666667,-1.47973513668251e-11,-7.04908309780254e-10,0.6596620944,-2.46586076114377e-12,-2.68354289934544e-07,1,1.21007927726887e-10
138,1,2.2833333333,-1.40126723259955e-11,-6.67521492831208e-10,0.6595717987,-2.12552567085768e-12,-2.70508796765529e-07,1,1.04405927403869e-10
139,1,2.3,-1.32394160027930e-11,-6.30695737705744e-10,0.6594413032,-1.80714085803256e-12,-2.72425946665964e-07,1,8.88147734000340e-11
140,1,2.3166666667,-1.24758813385719e-11,-5.94347744898279e-10,0.6592721932,-1.51688642222558e-12,-2.74116578421195e-07,1,7.45385050087017e-11
141,1,2.3333333333,-1.17205159585690e-11,-5.58401159708510e-10,0.6590660301,-1.25992696189576e-12,-2.75591258829140e-07,1,6.18326415092621e-11
142,1,2.35,-1.09719442408716e-11,-5.22787960258961e-10,0.6588243502,-1.04038094623581e-12,-2.76860281851286e-07,1,5.09026830545036e-11
143,1,2.3666666667,-1.02289898191672e-11,-4.87449579452723e-10,0.6585486648,-8.61309490113260e-13,-2.77933668259028e-07,1,4.19034727308160e-11
144,1,2.3833333333,-9.49069244245058e-12,-4.52337756618025e-10,0.6582404598,-7.24729246301943e-13,-2.78821165688318e-07,1,3.49395776626734e-11
145,1,2.4,-8.75631923999515e-12,-4.17415120019050e-10,0.657901195,-6.31642128229721e-13,-2.79532249148479e-07,1,3.00666607593312e-11
146,1,2.4166666667,-8.02537053587475e-12,-3.82655506704393e-10,0.6575323039,-5.82083991962542e-13,-2.80076121947447e-07,1,2.72936063813158e-11
147,1,2.4333333333,-7.29758045687791e-12,-3.48044030376519e-10,0.6571351934,-5.75185405270851e-13,-2.80461716975601e-07,1,2.65853470711053e-11
148,1,2.45,-6.57291264855985e-12,-3.13576911849564e-10,0.6567112438,-6.09246647709295e-13,-2.80697698342191e-07,1,2.78663952827681e-11
149,1,2.4666666667,-5.85155149108112e-12,-2.79261090425861e-10,0.6562618082,-6.81825207224001e-13,-2.80792463318635e-07,1,3.10247978939369e-11
150,1,2.4833333333,-5.13388927344721e-12,-2.45113637078301e-10,0.6557882124,-7.89828491683286e-13,-2.80754144622065e-07,1,3.59166301840264e-11
151,1,2.5,-4.42050981984932e-12,-2.11160993199888e-10,0.6552917549,-9.29615166801445e-13,-2.80590612953516e-07,1,4.23708381533958e-11
152,1,2.5166666667,-3.71216910511258e-12,-1.77438060609692e-10,0.6547737066,-1.09709652772573e-12,-2.80309479789623e-07,1,5.01941141450515e-11
